Round Number,Date,Location,Home Team,Away Team,Group,Result
1,11/06/2021 21:00,Olimpico in Rome,Turkey,Italy,Group A,
1,12/06/2021 15:00,Baki Olimpiya Stadionu,Wales,Switzerland,Group A,
1,12/06/2021 18:00,Parken,Denmark,Finland,Group B,
1,12/06/2021 21:00,Gazprom Arena,Belgium,Russia,Group B,
1,13/06/2021 15:00,Wembley Stadium,England,Croatia,Group D,
1,13/06/2021 18:00,National Arena Bucharest,Austria,North Macedonia,Group C,
1,13/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Ukraine,Group C,
1,14/06/2021 15:00,Hampden Park,Scotland,Czech Republic,Group D,
1,14/06/2021 18:00,Aviva Stadium,Poland,Slovakia,Group E,
1,14/06/2021 21:00,Estadio de San Mamés,Spain,Sweden,Group E,
1,15/06/2021 18:00,Puskás Aréna,Hungary,Portugal,Group F,
1,15/06/2021 21:00,Allianz Arena,France,Germany,Group F,
2,16/06/2021 15:00,Gazprom Arena,Finland,Russia,Group B,
2,16/06/2021 18:00,Baki Olimpiya Stadionu,Turkey,Wales,Group A,
2,16/06/2021 21:00,Olimpico in Rome,Italy,Switzerland,Group A,
2,17/06/2021 15:00,National Arena Bucharest,Ukraine,North Macedonia,Group C,
2,17/06/2021 18:00,Parken,Denmark,Belgium,Group B,
2,17/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Austria,Group C,
2,18/06/2021 15:00,Aviva Stadium,Sweden,Slovakia,Group E,
2,18/06/2021 18:00,Hampden Park,Croatia,Czech Republic,Group D,
2,18/06/2021 21:00,Wembley Stadium,England,Scotland,Group D,
2,19/06/2021 15:00,Puskás Aréna,Hungary,France,Group F,
2,19/06/2021 18:00,Allianz Arena,Portugal,Germany,Group F,
2,19/06/2021 21:00,Estadio de San Mamés,Spain,Poland,Group E,
3,20/06/2021 18:00,Olimpico in Rome,Italy,Wales,Group A,
3,20/06/2021 18:00,Baki Olimpiya Stadionu,Switzerland,Turkey,Group A,
3,21/06/2021 18:00,National Arena Bucharest,Ukraine,Austria,Group C,
3,21/06/2021 18:00,Johan Cruijff ArenA,North Macedonia,Netherlands,Group C,
3,21/06/2021 21:00,Gazprom Arena,Finland,Belgium,Group B,
3,21/06/2021 21:00,Parken,Russia,Denmark,Group B,
3,22/06/2021 21:00,Wembley Stadium,Czech Republic,England,Group D,
3,22/06/2021 21:00,Hampden Park,Croatia,Scotland,Group D,
3,23/06/2021 18:00,Aviva Stadium,Sweden,Poland,Group E,
3,23/06/2021 18:00,Estadio de San Mamés,Slovakia,Spain,Group E,
3,23/06/2021 21:00,Allianz Arena,Germany,Hungary,Group F,
3,23/06/2021 21:00,Puskás Aréna,Portugal,France,Group F,
Round of 16,26/06/2021 18:00,Johan Cruijff ArenA,2A,2B,,
Round of 16,26/06/2021 21:00,Wembley Stadium,1A,2C,,
Round of 16,27/06/2021 18:00,Puskás Aréna,1C,3D/E/F,,
Round of 16,27/06/2021 21:00,Estadio de San Mamés,1B,3A/D/E/F,,
Round of 16,28/06/2021 18:00,Parken,2D,2E,,
Round of 16,28/06/2021 21:00,National Arena Bucharest,1F,3A/B/C,,
Round of 16,29/06/2021 18:00,Aviva Stadium,1D,2F,,
Round of 16,29/06/2021 21:00,Hampden Park,1E,3A/B/C/D,,
Quarter Finals,02/07/2021 18:00,Gazprom Arena,To be announced,To be announced,,
Quarter Finals,02/07/2021 21:00,Allianz Arena,To be announced,To be announced,,
Quarter Finals,03/07/2021 18:00,Baki Olimpiya Stadionu,To be announced,To be announced,,
Quarter Finals,03/07/2021 21:00,Olimpico in Rome,To be announced,To be announced,,
Semi Finals,06/07/2021 21:00,Wembley Stadium,To be announced,To be announced,,
Semi Finals,07/07/2021 21:00,Wembley Stadium,To be announced,To be announced,,
Final,11/07/2021 21:00,Wembley Stadium,To be announced,To be announced,,
